uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1718927967","20 Jun 2024, 23:59","Better Oblivion Community Center","9861b813-3e8e-4e3a-b5ec-78ac6280489a","Better Oblivion Community Center","","My City","1e68b967-8feb-423b-92e0-4b703724230b"
"1718927770","20 Jun 2024, 23:56","Pavement","","Slanted & Enchanted: Luxe & Reduxe","","Frontwards","4e51bd11-77e0-4d13-8988-8cfe3ea318a9"
"1718927583","20 Jun 2024, 23:53","Crying","e4687e1b-cf22-4fe1-83b7-ae82d874e17c","Beyond the Fleeting Gales","2bbaec58-5eff-43bc-be41-22928a4e2b6c","Premonitory Dream","4640db2d-16cf-4da2-b809-ece69052b779"
"1718927388","20 Jun 2024, 23:49","Indigo De Souza","a8d894ce-0e6b-4ddd-a49b-46f6330a590f","All of This Will End","6e3f8936-81e2-4bdd-b19b-76f180a3225a","Smog","91ae7447-a0ad-42a5-88b7-f8b8e7278bb0"
"1718927271","20 Jun 2024, 23:47","Matt OX","5ccb759f-2cdf-40b3-93f9-883ce3cd9ea8","Overwhelming","743adc39-a9f2-465d-a872-b55b6e9f03d9","Overwhelming","8c1741d4-1c29-4d20-a6ad-1b1421b979fb"
"1718927142","20 Jun 2024, 23:45","Ian","890b6c4f-583b-4c6f-a42a-a07b923abc49","Valedictorian","3af469c3-2d64-4bc7-bf8d-a6b409304df5","Never Stop","f6fc70f6-481b-4c0a-9302-ee7b9b7bdc48"
"1718927008","20 Jun 2024, 23:43","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT","4b4698bd-25c7-4635-96e2-178ae2d5cd3b","360","9e687f51-1fa6-4374-b9e0-2e3df630bcd5"
"1718926846","20 Jun 2024, 23:40","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT","4b4698bd-25c7-4635-96e2-178ae2d5cd3b","Talk talk","351af27b-2581-4f27-a75f-1ae5200db4f2"
"1718926715","20 Jun 2024, 23:38","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718926497","20 Jun 2024, 23:34","Yeah Yeah Yeahs","584c04d2-4acc-491b-8a0a-e63133f4bfc4","Fever To Tell (Deluxe Remastered)","","Maps","46388d40-71c2-47e9-a37f-05fd0459c454"
"1718922506","20 Jun 2024, 22:28","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","COLD VISIONS","d7d52cb9-0b8e-487a-b1fa-29d06e33ae65","TERRIBLE EXCELLENCE (feat. Yung Lean)",""
"1718922253","20 Jun 2024, 22:24","Carly Rae Jepsen","09887aa7-226e-4ecc-9a0c-02d2ae5777e1","Emotion (Deluxe Expanded Edition)","","Run Away with Me","7121c3e9-a122-4347-9780-041ae1fd14c4"
"1718922130","20 Jun 2024, 22:22","8485","68eae9ac-43a1-465f-97dd-ce5ea3cb9dc9","Personal Protocol","32a94c14-1f18-406b-a1a0-de892fcd75ca","COOL_DNB_SONG",""
"1718921978","20 Jun 2024, 22:19","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","COLD VISIONS","d7d52cb9-0b8e-487a-b1fa-29d06e33ae65","WODRAINER","1cfcd9b6-0f41-4828-9ac0-2189cda6642c"
"1718921851","20 Jun 2024, 22:17","Chappell Roan","56a55378-f155-48de-80a5-d80104221267","Love Me Anyway","3d9807ce-9b72-450a-9583-7b625311da72","Love Me Anyway","02c78c53-9238-4d40-8929-64f81a8d13b6"
"1718921743","20 Jun 2024, 22:15","Pavement","","Slanted & Enchanted: Luxe & Reduxe","","Lions (Linden)","8c73cf82-7a70-397c-b9cd-47ac64f8ae3b"
"1718921537","20 Jun 2024, 22:12","Pavement","","Slanted & Enchanted: Luxe & Reduxe","","Frontwards","4e51bd11-77e0-4d13-8988-8cfe3ea318a9"
"1718921350","20 Jun 2024, 22:09","Crying","e4687e1b-cf22-4fe1-83b7-ae82d874e17c","Beyond the Fleeting Gales","2bbaec58-5eff-43bc-be41-22928a4e2b6c","Premonitory Dream","4640db2d-16cf-4da2-b809-ece69052b779"
"1718921155","20 Jun 2024, 22:05","Indigo De Souza","a8d894ce-0e6b-4ddd-a49b-46f6330a590f","All of This Will End","6e3f8936-81e2-4bdd-b19b-76f180a3225a","Smog","91ae7447-a0ad-42a5-88b7-f8b8e7278bb0"
"1718921038","20 Jun 2024, 22:03","Matt OX","5ccb759f-2cdf-40b3-93f9-883ce3cd9ea8","Overwhelming","743adc39-a9f2-465d-a872-b55b6e9f03d9","Overwhelming","8c1741d4-1c29-4d20-a6ad-1b1421b979fb"
"1718920910","20 Jun 2024, 22:01","Ian","890b6c4f-583b-4c6f-a42a-a07b923abc49","Valedictorian","3af469c3-2d64-4bc7-bf8d-a6b409304df5","Never Stop","f6fc70f6-481b-4c0a-9302-ee7b9b7bdc48"
"1718920776","20 Jun 2024, 21:59","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT","4b4698bd-25c7-4635-96e2-178ae2d5cd3b","360","9e687f51-1fa6-4374-b9e0-2e3df630bcd5"
"1718920614","20 Jun 2024, 21:56","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT","4b4698bd-25c7-4635-96e2-178ae2d5cd3b","Talk talk","351af27b-2581-4f27-a75f-1ae5200db4f2"
